t,qw,qx,qy,qz
0.0,0.9659409982705602,0.15187599725254364,0.19017436387412315,-0.08789537960828406
0.02,0.964602700720017,0.15455442384042936,0.1962560600292365,-0.0844873258245429
0.036,0.9635428389631073,0.15674310382444012,0.2008350645705741,-0.08174452507000468
0.06,0.9619790937673586,0.16009165507855785,0.207222981499209,-0.07762522888724054
0.08,0.9607067638229627,0.16293164696330298,0.21211313880811816,-0.07418840914421715
0.1,0.9594692056168124,0.16580197098047084,0.21661953879190818,-0.07074256920509794
0.124,0.9580280222944975,0.16927604970123244,0.22156834374470716,-0.06659973813890681
0.144,0.9568469456064451,0.1721915841859499,0.22540124977849213,-0.06315328845274344
0.16,0.9559134392520744,0.17453342183871337,0.22829630620985453,-0.06040163956211643
0.18,0.9547660121339814,0.17746615541079985,0.23169444051797966,-0.05696753957125902
0.196,0.9538670813568545,0.1798120603817823,0.23423278630191388,-0.05422460303990024
0.216,0.9527721546336279,0.18273644057684843,0.23717505041190548,-0.050799152566237286
0.232,0.9519204961239704,0.18506700421444583,0.23934701255882762,-0.04806874288057891
0.252,0.9508870091418612,0.18796257979684766,0.24184609943173874,-0.04466007853405575
0.276,0.9496938969014562,0.19140288671015993,0.24454107413450796,-0.040571940896384086
0.3,0.9485559289251022,0.19479401500334823,0.2469131397519611,-0.03648232337175905
0.316,0.9478293550173473,0.1970201468690229,0.24832085777525917,-0.03375381406124102
0.336,0.9469587724191976,0.19975726327255705,0.24989144162019977,-0.030338260128705767
0.36,0.9459676653427851,0.20297477860951704,0.25151109545609257,-0.026245197514969662
0.376,0.9453368610732508,0.2050782426265227,0.2524440739529332,-0.02352034751145103
0.4,0.9444377764247884,0.2081614188947601,0.2536316066438162,-0.019424835872700927
0.42,0.9437237649649519,0.2106683833608736,0.2544565908700846,-0.01600553877983156
0.448,0.9427304066768,0.21410401282397806,0.25552604090715736,-0.011197707107466363
0.472,0.9418786629110554,0.21696051015232154,0.2564067626432324,-0.006954545793851498
0.492,0.9411719556407254,0.2192964143316094,0.2570848200032084,-0.0034355074701708857
0.508,0.9406132679261374,0.2211332184943883,0.2575781026090798,-0.0006224547008232342
0.524,0.9400620171804673,0.22294349125003785,0.2580212782364188,0.0021879231632491378
0.548,0.9392509295028153,0.22561261549040323,0.2585842965424356,0.006390415177768838
0.568,0.9385903125633658,0.2277992361802009,0.2589561393587124,0.009875324542132372
0.584,0.9380738366349175,0.22953029635432118,0.2591791933968267,0.012636107284170348
